"Tag","Controller","Method","Path","Action","Auth","Permission"
"RevenueAllocation","RevenueAllocationController","POST","/api/v1/revenue-allocation/keys/{id:guid}/deactivate","DeactivateKey","JWT",""
"SchoolCurrencies","SchoolCurrenciesController","GET","/api/v1/school-currencies","List","JWT",""
"SchoolCurrencies","SchoolCurrenciesController","POST","/api/v1/school-currencies","Upsert","JWT",""
"SchoolCurrencies","SchoolCurrenciesController","DELETE","/api/v1/school-currencies/{id:guid}","Remove","JWT",""
"SchoolFee","SchoolFeeController","GET","/api/v1/school-fees/catalog","GetCatalog","JWT",""
"SchoolFee","SchoolFeeController","GET","/api/v1/school-fees/fee-types","GetFeeTypes","JWT",""
"SchoolFee","SchoolFeeController","POST","/api/v1/school-fees/fee-types","CreateFeeType","JWT",""
"SchoolFee","SchoolFeeController","GET","/api/v1/school-fees/fee-types/{feeTypeId:guid}/installments","GetFeeTypeInstallments","JWT",""
"SchoolFee","SchoolFeeController","PUT","/api/v1/school-fees/fee-types/{feeTypeId:guid}/installments","SaveFeeTypeInstallments","JWT",""
"SchoolFee","SchoolFeeController","DELETE","/api/v1/school-fees/fee-types/{id:guid}","DeleteFeeType","JWT",""
"SchoolFee","SchoolFeeController","PUT","/api/v1/school-fees/fee-types/{id:guid}","UpdateFeeType","JWT",""
"SchoolFee","SchoolFeeController","GET","/api/v1/school-fees/installments","GetInstallments","JWT",""
"SchoolFee","SchoolFeeController","POST","/api/v1/school-fees/installments","CreateInstallment","JWT",""
"SchoolFee","SchoolFeeController","DELETE","/api/v1/school-fees/installments/{id:guid}","DeleteInstallment","JWT",""
"SchoolFee","SchoolFeeController","PUT","/api/v1/school-fees/installments/{id:guid}","UpdateInstallment","JWT",""
"SchoolFee","SchoolFeeController","GET","/api/v1/school-fees/pricing-categories","GetPricingCategories","JWT",""
"SchoolFee","SchoolFeeController","POST","/api/v1/school-fees/pricing-categories","CreatePricingCategory","JWT",""
"SchoolFee","SchoolFeeController","DELETE","/api/v1/school-fees/pricing-categories/{id:guid}","DeletePricingCategory","JWT",""
"SchoolFee","SchoolFeeController","PUT","/api/v1/school-fees/pricing-categories/{id:guid}","UpdatePricingCategory","JWT",""
"SchoolFee","SchoolFeeController","GET","/api/v1/school-fees/schedule","GetSchedule","JWT",""
"SchoolFee","SchoolFeeController","PUT","/api/v1/school-fees/schedule","SaveSchedule","JWT",""
"SchoolFee","SchoolFeeController","PUT","/api/v1/school-fees/schedule/bulk","SaveScheduleBulk","JWT",""
"SchoolFee","SchoolFeeController","POST","/api/v1/school-fees/schedule/copy-from-previous","CopyScheduleFromPrevious","JWT",""
"SchoolFee","SchoolFeeController","POST","/api/v1/school-fees/schedule/copy-from-previous/bulk","CopyScheduleFromPreviousBulk","JWT",""
"SchoolFee","SchoolFeeController","GET","/api/v1/school-fees/schedule/signatures","GetScheduleSignatures","JWT",""
"Schools","SchoolsController","GET","/api/v1/schools/current","GetCurrent","JWT",""
"Schools","SchoolsController","PUT","/api/v1/schools/current","UpdateCurrent","JWT",""
"Schools","SchoolsController","GET","/api/v1/schools/current/academic-years","GetAcademicYears","JWT",""
"Schools","SchoolsController","POST","/api/v1/schools/current/academic-years","CreateAcademicYear","JWT",""
"Schools","SchoolsController","PUT","/api/v1/schools/current/academic-years/{yearId:guid}/set-current","SetCurrentYear","JWT",""
"Schools","SchoolsController","GET","/api/v1/schools/current/lookups","GetLookups","JWT",""
"Schools","SchoolsController","GET","/api/v1/schools/current/regulation","GetRegulation","JWT",""
"Schools","SchoolsController","PUT","/api/v1/schools/current/regulation","UpdateRegulation","JWT",""
"StudentCards","StudentCardsController","GET","/api/v1/cards","Search","JWT",""
"StudentCards","StudentCardsController","POST","/api/v1/cards","Create","JWT",""
"StudentCards","StudentCardsController","DELETE","/api/v1/cards/{id:guid}","Delete","JWT",""
"StudentCards","StudentCardsController","GET","/api/v1/cards/{id:guid}","GetById","JWT",""
"StudentCards","StudentCardsController","PUT","/api/v1/cards/{id:guid}","Update","JWT",""
"StudentCards","StudentCardsController","POST","/api/v1/cards/{id:guid}/deactivate","Deactivate","JWT",""
"StudentCards","StudentCardsController","POST","/api/v1/cards/{id:guid}/lost","DeclareLost","JWT",""
"StudentCards","StudentCardsController","POST","/api/v1/cards/{id:guid}/renew","Renew","JWT",""
"StudentCards","StudentCardsController","POST","/api/v1/cards/{id:guid}/reprint","Reprint","JWT",""
"StudentCards","StudentCardsController","POST","/api/v1/cards/{id:guid}/stolen","DeclareStolen","JWT",""
"StudentCards","StudentCardsController","POST","/api/v1/cards/bulk","BulkCreate","JWT",""
